,drugname1,drugname2,cell_line,synergy,fold
51,MRK-003,DASATINIB,A2058,32.1882809709,3
52,MRK-003,VINBLASTINE,A2058,36.6426634756,0
53,PD325901,BEZ-235,A2058,56.5529882885,9
54,PD325901,DASATINIB,A2058,34.4118328637,2
55,PD325901,MK-8669,A2058,50.5997288547,4
56,PD325901,SORAFENIB,A2058,32.7549342489,4
57,SUNITINIB,DASATINIB,A2058,41.5825128512,6
58,SUNITINIB,LAPATINIB,A2058,32.9188822173,1
59,SUNITINIB,MK-2206,A2058,42.28215967915,9
60,SUNITINIB,MK-8669,A2058,39.694651966,2
61,TEMOZOLOMIDE,ABT-888,A2058,41.188121854,1
62,TEMOZOLOMIDE,AZD1775,A2058,38.7970173503,8
63,TEMOZOLOMIDE,DASATINIB,A2058,35.831338588200005,2
64,TEMOZOLOMIDE,GELDANAMYCIN,A2058,42.111850352800005,7
65,TEMOZOLOMIDE,MK-4827,A2058,42.2415847089,3
66,TEMOZOLOMIDE,MK-8776,A2058,128.3217060895,0
67,TEMOZOLOMIDE,PD325901,A2058,37.1078227654,0
68,TOPOTECAN,MK-8776,A2058,41.5638481911,2
69,VINBLASTINE,DASATINIB,A2058,41.6650810957,9
70,VINBLASTINE,ERLOTINIB,A2058,85.5793936509,0
71,VINBLASTINE,L778123,A2058,82.5166518427,1
72,VINBLASTINE,MK-8669,A2058,50.4857898195,4
73,ZOLINZA,DASATINIB,A2058,48.6043316224,1
74,ZOLINZA,MK-8776,A2058,42.0359764302,5
75,5-FU,ABT-888,A2058,7.6935301658,2
76,5-FU,AZD1775,A2058,13.0526874408,7
77,5-FU,BEZ-235,A2058,13.6791116022,5
78,5-FU,DINACICLIB,A2058,4.3316952071,2
79,5-FU,ERLOTINIB,A2058,9.6942857549,3
80,5-FU,GELDANAMYCIN,A2058,7.3767092383,3
81,5-FU,L778123,A2058,9.7282647976,9
82,5-FU,LAPATINIB,A2058,9.1921381489,4
83,5-FU,MK-2206,A2058,15.9003975952,3
84,5-FU,MK-4827,A2058,6.7380597244,7
85,5-FU,MK-5108,A2058,1.8048954561,7
86,5-FU,MK-8776,A2058,23.5227129994,9
87,5-FU,PD325901,A2058,2.2648345474,1
88,5-FU,SORAFENIB,A2058,1.4874561767,1
89,5-FU,SUNITINIB,A2058,9.6216201263,9
90,5-FU,TEMOZOLOMIDE,A2058,2.774368984,3
91,ABT-888,BEZ-235,A2058,24.0709714753,9
92,ABT-888,DINACICLIB,A2058,11.1487216398,9
93,ABT-888,GELDANAMYCIN,A2058,22.669720815300003,7
94,ABT-888,MK-8669,A2058,24.7600060155,2
95,ABT-888,MK-8776,A2058,15.4587203955,5
96,ABT-888,OXALIPLATIN,A2058,4.9360377328,7
97,AZD1775,ABT-888,A2058,10.2488077977,0
98,AZD1775,BEZ-235,A2058,10.17818370015,5
99,AZD1775,BORTEZOMIB,A2058,0.2380155480999999,0
100,AZD1775,ERLOTINIB,A2058,6.9779629489,6
101,AZD1775,GELDANAMYCIN,A2058,8.1440436825,5
102,AZD1775,LAPATINIB,A2058,7.2283537341,6
103,AZD1775,MK-2206,A2058,18.8447263032,2
104,AZD1775,PD325901,A2058,9.7129387617,6
105,AZD1775,SN-38,A2058,3.0746171886,5
106,AZD1775,TOPOTECAN,A2058,5.7150175915,6
107,BEZ-235,DINACICLIB,A2058,12.82913573,8
108,BEZ-235,OXALIPLATIN,A2058,21.650410858,0
109,BEZ-235,SN-38,A2058,1.9333510289,0
110,BEZ-235,SORAFENIB,A2058,5.7140047803,6
111,BORTEZOMIB,ABT-888,A2058,7.2379476899,0
112,BORTEZOMIB,BEZ-235,A2058,6.8176625764,9
113,BORTEZOMIB,DASATINIB,A2058,21.6596544046,3
114,BORTEZOMIB,MK-8776,A2058,16.4094980088,4
115,BORTEZOMIB,OXALIPLATIN,A2058,1.295470719,7
116,BORTEZOMIB,SN-38,A2058,28.0928624372,6
117,BORTEZOMIB,SORAFENIB,A2058,5.6802129162,3
118,CARBOPLATIN,ABT-888,A2058,2.7198664064,8
119,CARBOPLATIN,AZD1775,A2058,2.0968501681,5
120,CARBOPLATIN,GELDANAMYCIN,A2058,9.354111594,3
121,CARBOPLATIN,L778123,A2058,0.3311250385,8
122,CARBOPLATIN,MK-2206,A2058,1.3534486061000002,9
123,CARBOPLATIN,MK-4827,A2058,7.7318563899,5
124,CARBOPLATIN,MK-8669,A2058,15.2037346962,9
125,CYCLOPHOSPHAMIDE,ABT-888,A2058,12.7249674359,3
126,CYCLOPHOSPHAMIDE,AZD1775,A2058,4.8374594684,9
127,CYCLOPHOSPHAMIDE,BEZ-235,A2058,12.7461879998,0
128,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,4.609111485,5
129,CYCLOPHOSPHAMIDE,DASATINIB,A2058,10.3791196623,2
130,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,12.4027520316,1
131,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,2.4735481235,2
132,CYCLOPHOSPHAMIDE,L778123,A2058,3.8652029459,4
133,CYCLOPHOSPHAMIDE,MK-2206,A2058,10.1727056614,0
134,CYCLOPHOSPHAMIDE,MK-4827,A2058,8.5102584655,4
135,CYCLOPHOSPHAMIDE,MK-5108,A2058,5.6665922146000005,0
136,CYCLOPHOSPHAMIDE,MK-8669,A2058,20.1973205406,6
137,CYCLOPHOSPHAMIDE,MK-8776,A2058,6.2135497933,9
138,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,7.6373593747,0
139,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,9.1710376846,4
140,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,18.0784282325,6
141,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,5.5494548264,2
142,DASATINIB,ABT-888,A2058,15.352585121,5
143,DASATINIB,OXALIPLATIN,A2058,25.6728947281,5
144,DASATINIB,TOPOTECAN,A2058,6.4764816551,5
145,DEXAMETHASONE,BEZ-235,A2058,13.5941902785,5
146,DEXAMETHASONE,MK-8669,A2058,10.7013116867,2
147,DEXAMETHASONE,PD325901,A2058,3.5088316503,5
148,DEXAMETHASONE,SORAFENIB,A2058,11.6190157067,7
149,DEXAMETHASONE,SUNITINIB,A2058,9.0265014595,9
150,DINACICLIB,MK-8776,A2058,6.3752259787,1
151,DOXORUBICIN,AZD1775,A2058,9.2662883626,2
152,DOXORUBICIN,BEZ-235,A2058,2.5594016488,5
153,DOXORUBICIN,DASATINIB,A2058,2.4428538849,6
154,DOXORUBICIN,ERLOTINIB,A2058,3.0785296833,9
155,DOXORUBICIN,GELDANAMYCIN,A2058,8.7563453001,0
156,DOXORUBICIN,L778123,A2058,10.0811285083,3
157,DOXORUBICIN,LAPATINIB,A2058,6.1319998153,5
158,DOXORUBICIN,MK-2206,A2058,1.8203104426,8
159,DOXORUBICIN,MK-8776,A2058,16.6872304752,1
160,DOXORUBICIN,PD325901,A2058,12.3926036226,3
161,DOXORUBICIN,ZOLINZA,A2058,4.5642394165,4
162,ERLOTINIB,ABT-888,A2058,9.6671129656,3
163,ERLOTINIB,DINACICLIB,A2058,0.8405274970000001,0
164,ERLOTINIB,GELDANAMYCIN,A2058,19.8583289401,8
165,ERLOTINIB,MK-8776,A2058,24.1294701352,1
166,ERLOTINIB,PD325901,A2058,6.4222052802,8
167,ERLOTINIB,SN-38,A2058,14.2345543965,3
168,ERLOTINIB,TOPOTECAN,A2058,20.6595466511,2
169,ETOPOSIDE,ABT-888,A2058,1.9172216639,9
170,ETOPOSIDE,AZD1775,A2058,15.4450109447,3
171,ETOPOSIDE,BEZ-235,A2058,2.8340783444,1
172,ETOPOSIDE,DASATINIB,A2058,11.2051228578,6
173,ETOPOSIDE,ERLOTINIB,A2058,1.9880474087,7
174,ETOPOSIDE,MK-2206,A2058,23.8414603018,8
175,ETOPOSIDE,PD325901,A2058,22.1734878239,3
176,ETOPOSIDE,TEMOZOLOMIDE,A2058,13.6477252971,7
177,ETOPOSIDE,ZOLINZA,A2058,3.4522398712,9
178,GELDANAMYCIN,DINACICLIB,A2058,5.9678757799,8
179,GELDANAMYCIN,OXALIPLATIN,A2058,16.34039127,0
180,GELDANAMYCIN,SN-38,A2058,19.0185063841,0
181,GELDANAMYCIN,SORAFENIB,A2058,8.8068852279,2
182,GELDANAMYCIN,TOPOTECAN,A2058,22.3865856546,7
183,GEMCITABINE,AZD1775,A2058,15.95333660155,6
184,GEMCITABINE,BEZ-235,A2058,13.2309693062,1
185,GEMCITABINE,DASATINIB,A2058,9.7533108463,9
186,GEMCITABINE,ERLOTINIB,A2058,4.2865172217000005,3
187,GEMCITABINE,GELDANAMYCIN,A2058,8.9984178543,5
188,GEMCITABINE,MK-2206,A2058,19.2467621185,5
189,GEMCITABINE,MK-5108,A2058,6.5846946018,3
190,GEMCITABINE,MK-8669,A2058,16.2478514617,8
191,GEMCITABINE,PD325901,A2058,8.2015114798,1
192,GEMCITABINE,TEMOZOLOMIDE,A2058,9.5521043881,2
193,L778123,ABT-888,A2058,6.1419773206,9
194,L778123,AZD1775,A2058,6.042479323299999,4
195,L778123,BORTEZOMIB,A2058,6.174430599299999,5
196,L778123,DINACICLIB,A2058,12.7424839147,4
197,L778123,ERLOTINIB,A2058,9.9628815352,4
198,L778123,ETOPOSIDE,A2058,24.9439129015,3
199,L778123,GELDANAMYCIN,A2058,25.8107970161,8
200,L778123,GEMCITABINE,A2058,10.3514775815,0
201,L778123,LAPATINIB,A2058,15.567887115,8
202,L778123,MK-2206,A2058,27.8589690382,7
203,L778123,MK-5108,A2058,25.4027630952,0
204,L778123,OXALIPLATIN,A2058,0.3519313517,1
205,L778123,PD325901,A2058,9.0945023239,1
206,L778123,SORAFENIB,A2058,23.1874577737,1
207,L778123,SUNITINIB,A2058,21.0205887367,8
208,L778123,VINORELBINE,A2058,24.0346419433,1
209,L778123,ZOLINZA,A2058,9.3180961428,8
210,LAPATINIB,ABT-888,A2058,7.0327534722000005,6
211,LAPATINIB,BORTEZOMIB,A2058,14.5104381684,1
212,LAPATINIB,DINACICLIB,A2058,12.2502026071,1
213,LAPATINIB,GELDANAMYCIN,A2058,12.5474768449,7
214,LAPATINIB,MK-4827,A2058,17.424604928599997,2
215,LAPATINIB,MK-8776,A2058,22.634552405700003,7
216,LAPATINIB,SN-38,A2058,22.2032431557,7
217,LAPATINIB,SORAFENIB,A2058,18.2991878509,2
218,LAPATINIB,TOPOTECAN,A2058,22.0435075766,5
219,METFORMIN,ABT-888,A2058,8.236009194,4
220,METFORMIN,AZD1775,A2058,8.488617477,9
221,METFORMIN,BEZ-235,A2058,28.1688860793,9
222,METFORMIN,DASATINIB,A2058,17.0314701547,7
223,METFORMIN,DINACICLIB,A2058,2.4158587026,1
224,METFORMIN,ERLOTINIB,A2058,4.9388424973000005,9
225,METFORMIN,GELDANAMYCIN,A2058,3.1267915116000005,8
226,METFORMIN,L778123,A2058,8.3082311475,1
227,METFORMIN,LAPATINIB,A2058,10.7432868809,0
228,METFORMIN,MK-2206,A2058,12.7566739645,3
229,METFORMIN,MK-4827,A2058,10.7040637514,2
230,METFORMIN,MK-5108,A2058,2.6047924437,1
231,METFORMIN,MK-8669,A2058,26.631513470500003,4
232,METFORMIN,MK-8776,A2058,0.133987742,0
233,METFORMIN,PD325901,A2058,26.4094775982,8
234,METFORMIN,SORAFENIB,A2058,16.7756024511,4
235,METFORMIN,SUNITINIB,A2058,7.3881584045,7
236,METFORMIN,TEMOZOLOMIDE,A2058,0.8660648306000001,3
237,METFORMIN,ZOLINZA,A2058,6.478402999299999,5
238,MITOMYCINE,ABT-888,A2058,5.7542012538,4
239,MITOMYCINE,AZD1775,A2058,12.667356881400002,8
240,MITOMYCINE,BEZ-235,A2058,12.246506683900002,5
241,MITOMYCINE,BORTEZOMIB,A2058,1.1356064078,7
242,MITOMYCINE,DASATINIB,A2058,17.7293331286,1
243,MITOMYCINE,DINACICLIB,A2058,0.2483327551,1
244,MITOMYCINE,GELDANAMYCIN,A2058,20.3740655263,6
245,MITOMYCINE,LAPATINIB,A2058,23.3750507515,6
246,MITOMYCINE,MK-2206,A2058,3.0733138148,2
247,MITOMYCINE,MK-4827,A2058,0.9083497833,9
248,MITOMYCINE,MK-5108,A2058,0.2622161137,3
249,MITOMYCINE,TEMOZOLOMIDE,A2058,1.2389509791,9
250,MITOMYCINE,ZOLINZA,A2058,15.5271449964,8
251,MK-2206,ABT-888,A2058,17.2646060268,5
252,MK-2206,DINACICLIB,A2058,9.9732875067,3
253,MK-2206,ERLOTINIB,A2058,21.79260474125,7
254,MK-2206,GELDANAMYCIN,A2058,18.7923821606,5
255,MK-2206,MK-8776,A2058,20.1084309197,4
256,MK-2206,SN-38,A2058,17.1730240469,9
257,MK-2206,SORAFENIB,A2058,15.7666393124,8
258,MK-2206,TOPOTECAN,A2058,9.8021510298,1
259,MK-4541,5-FU,A2058,2.4828575825,5
260,MK-4541,ABT-888,A2058,5.85721376,8
261,MK-4541,AZD1775,A2058,10.807659392,8
262,MK-4541,BEZ-235,A2058,12.1023178363,6
263,MK-4541,BORTEZOMIB,A2058,2.197570357,5
264,MK-4541,CARBOPLATIN,A2058,1.2919209587,7
265,MK-4541,CYCLOPHOSPHAMIDE,A2058,0.8648896578,3
266,MK-4541,DASATINIB,A2058,26.322523939,7
267,MK-4541,DINACICLIB,A2058,1.46369972,4
268,MK-4541,DOXORUBICIN,A2058,1.0098693239,3
269,MK-4541,ERLOTINIB,A2058,4.6921310376,9
270,MK-4541,ETOPOSIDE,A2058,4.5633320494,2
271,MK-4541,GEMCITABINE,A2058,2.1154547064,6
272,MK-4541,L778123,A2058,1.7548423996,1
273,MK-4541,LAPATINIB,A2058,4.7127554993,3
274,MK-4541,METFORMIN,A2058,4.3729493106,6
275,MK-4541,MITOMYCINE,A2058,7.8426856837,4
276,MK-4541,MK-2206,A2058,7.152745613,7
277,MK-4541,MK-4827,A2058,8.0662025389,4
278,MK-4541,MK-5108,A2058,2.8899000442,6
279,MK-4541,MK-8669,A2058,21.6416924067,4
280,MK-4541,MK-8776,A2058,1.6744502645,9
281,MK-4541,MRK-003,A2058,1.3248237559,4
282,MK-4541,PD325901,A2058,3.2932204523000004,2
283,MK-4541,SN-38,A2058,13.1396285625,4
284,MK-4541,SORAFENIB,A2058,10.2315901869,0
285,MK-4541,SUNITINIB,A2058,9.0249743652,0
286,MK-4541,TEMOZOLOMIDE,A2058,3.3124111723,0
287,MK-4541,TOPOTECAN,A2058,4.9093753351,3
288,MK-4827,BEZ-235,A2058,0.5731306047,6
289,MK-4827,BORTEZOMIB,A2058,1.361695813,1
290,MK-4827,DASATINIB,A2058,15.1210535378,8
291,MK-4827,ERLOTINIB,A2058,13.739879124100002,1
292,MK-4827,MK-8669,A2058,10.3410755451,7
293,MK-4827,OXALIPLATIN,A2058,17.4993954527,3
294,MK-4827,PD325901,A2058,6.3581841416,1
295,MK-4827,SN-38,A2058,20.63773682695,8
296,MK-5108,ABT-888,A2058,14.4110973025,0
297,MK-5108,BEZ-235,A2058,10.9771609247,8
298,MK-5108,MK-2206,A2058,2.1837131891,7
299,MK-5108,MK-4827,A2058,29.7188981207,2
300,MK-5108,MK-8669,A2058,17.8854604204,6
301,MK-5108,TOPOTECAN,A2058,13.6295076152,7
302,MK-8669,DINACICLIB,A2058,14.964845325,9
303,MK-8669,GELDANAMYCIN,A2058,20.585916368,9
304,MK-8669,OXALIPLATIN,A2058,3.3669853062,4
305,MK-8669,SN-38,A2058,13.356832591,7
306,MK-8669,SORAFENIB,A2058,16.3623864142,8
307,MRK-003,5-FU,A2058,12.5716044023,0
308,MRK-003,ABT-888,A2058,10.2687707963,6
309,MRK-003,AZD1775,A2058,10.209524082,6
310,MRK-003,BEZ-235,A2058,21.5650755752,1
311,MRK-003,BORTEZOMIB,A2058,7.7330504712,0
312,MRK-003,CARBOPLATIN,A2058,3.2486127773,6
313,MRK-003,ERLOTINIB,A2058,4.3397135858,4
314,MRK-003,GELDANAMYCIN,A2058,2.3548346699,8
315,MRK-003,GEMCITABINE,A2058,2.6321911036000003,2
316,MRK-003,L778123,A2058,10.6456664122,3
317,MRK-003,LAPATINIB,A2058,22.33190784615,2
318,MRK-003,METFORMIN,A2058,9.7117700605,5
319,MRK-003,MK-2206,A2058,18.1673798167,4
320,MRK-003,MK-4827,A2058,28.4985259229,9
321,MRK-003,MK-8669,A2058,23.5264422686,5
322,MRK-003,MK-8776,A2058,8.7823928749,1
323,MRK-003,OXALIPLATIN,A2058,0.903598054,6
324,MRK-003,PACLITAXEL,A2058,10.8476036262,2
325,MRK-003,PD325901,A2058,16.7538223145,2
326,MRK-003,SN-38,A2058,9.6015834414,7
327,MRK-003,SORAFENIB,A2058,14.1511379701,6
328,MRK-003,SUNITINIB,A2058,16.21105833455,8
329,MRK-003,TEMOZOLOMIDE,A2058,18.4383142211,2
330,MRK-003,TOPOTECAN,A2058,26.4779604506,7
331,MRK-003,VINORELBINE,A2058,3.4286605035,4
332,OXALIPLATIN,MK-8776,A2058,18.8156036485,4
333,PACLITAXEL,DASATINIB,A2058,28.7258616197,5
334,PACLITAXEL,L778123,A2058,17.679737390899998,2
335,PACLITAXEL,MK-2206,A2058,6.295023780499999,5
336,PACLITAXEL,MK-5108,A2058,23.7017334189,4
337,PACLITAXEL,MK-8669,A2058,10.9895380957,6
338,PACLITAXEL,MK-8776,A2058,10.0607489979,9
339,PACLITAXEL,PD325901,A2058,1.72489134,3
340,PD325901,ABT-888,A2058,3.7561185539,4
341,PD325901,BORTEZOMIB,A2058,6.896642195599999,7
342,PD325901,MK-8776,A2058,26.9700035439,0
343,PD325901,OXALIPLATIN,A2058,4.638170083,6
344,PD325901,TOPOTECAN,A2058,16.083000828299998,2
345,SN-38,MK-8776,A2058,24.3993434474,0
346,SORAFENIB,MK-8776,A2058,9.9813495803,3
347,SUNITINIB,ABT-888,A2058,11.5575850657,0
348,SUNITINIB,BEZ-235,A2058,24.6600221722,2
349,SUNITINIB,DINACICLIB,A2058,5.6552829372,1
350,SUNITINIB,ERLOTINIB,A2058,14.1014713788,0
351,SUNITINIB,GELDANAMYCIN,A2058,7.8956441196,1
352,SUNITINIB,MK-8776,A2058,26.4225380218,9
353,SUNITINIB,PD325901,A2058,16.7669354147,0
354,SUNITINIB,TEMOZOLOMIDE,A2058,3.0209211841,3
355,TEMOZOLOMIDE,BEZ-235,A2058,19.6709589307,3
356,TEMOZOLOMIDE,BORTEZOMIB,A2058,13.5453062371,9
357,TEMOZOLOMIDE,DINACICLIB,A2058,8.238832538099999,6
358,TEMOZOLOMIDE,ERLOTINIB,A2058,23.1691917075,8
359,TEMOZOLOMIDE,LAPATINIB,A2058,20.264529555,6
360,TEMOZOLOMIDE,MK-2206,A2058,14.2552631078,0
361,TEMOZOLOMIDE,MK-8669,A2058,19.9498250051,0
362,TEMOZOLOMIDE,SN-38,A2058,8.482931463,0
363,TEMOZOLOMIDE,TOPOTECAN,A2058,10.1833105175,4
364,TOPOTECAN,BEZ-235,A2058,5.400582103600001,2
365,VINBLASTINE,AZD1775,A2058,6.7919350747000005,7
366,VINBLASTINE,BEZ-235,A2058,15.8366268093,6
367,VINBLASTINE,LAPATINIB,A2058,28.7220464083,2
368,VINBLASTINE,MK-2206,A2058,2.4971286772,1
369,VINBLASTINE,MK-5108,A2058,23.6953725216,5
370,VINBLASTINE,MK-8776,A2058,13.5495395557,8
371,VINBLASTINE,PD325901,A2058,14.1881072772,8
372,VINBLASTINE,SORAFENIB,A2058,25.434491904,8
373,VINBLASTINE,SUNITINIB,A2058,1.691645593,5
374,VINORELBINE,BEZ-235,A2058,2.7299838694,9
375,VINORELBINE,DASATINIB,A2058,0.8444209892,7
376,ZOLINZA,ABT-888,A2058,13.8382607756,2
377,ZOLINZA,BEZ-235,A2058,22.4282715644,4
378,ZOLINZA,BORTEZOMIB,A2058,7.8300618308,4
379,ZOLINZA,ERLOTINIB,A2058,2.5500774099,4
380,ZOLINZA,MK-2206,A2058,11.176005836,6
381,ZOLINZA,MK-4827,A2058,0.1676616434999999,8
382,ZOLINZA,MK-8669,A2058,27.5955560156,2
383,ZOLINZA,TEMOZOLOMIDE,A2058,24.5398278072,7
384,ZOLINZA,TOPOTECAN,A2058,0.7886681487999999,1
385,5-FU,BORTEZOMIB,A2058,-5.2398784479,9
386,5-FU,ZOLINZA,A2058,-5.508119589400001,2
387,ABT-888,TOPOTECAN,A2058,-1.1875311978,1
388,AZD1775,DINACICLIB,A2058,-12.3658597754,4
389,AZD1775,MK-5108,A2058,-9.504263856,7
390,AZD1775,OXALIPLATIN,A2058,-0.3924191221,9
391,AZD1775,SORAFENIB,A2058,-7.5305896353,5
392,BORTEZOMIB,DINACICLIB,A2058,-20.0646922996,0
393,BORTEZOMIB,GELDANAMYCIN,A2058,-12.3447524076,1
394,BORTEZOMIB,MK-8669,A2058,-6.295088842999999,8
395,BORTEZOMIB,TOPOTECAN,A2058,-12.1881843756,2
396,CARBOPLATIN,BEZ-235,A2058,-6.0745276072,0
397,CARBOPLATIN,BORTEZOMIB,A2058,-15.8134978266,0
398,CARBOPLATIN,DINACICLIB,A2058,-19.9574716164,8
399,CARBOPLATIN,ERLOTINIB,A2058,-7.666082701100001,7
400,CARBOPLATIN,LAPATINIB,A2058,-5.2848856154,6
401,CARBOPLATIN,MK-5108,A2058,-20.013842133,5
402,CARBOPLATIN,PD325901,A2058,-31.646250205500003,1
403,CARBOPLATIN,SORAFENIB,A2058,-33.2718055213,5
404,CARBOPLATIN,SUNITINIB,A2058,-8.8203031579,3
405,CARBOPLATIN,TEMOZOLOMIDE,A2058,-14.5629872909,2
406,CARBOPLATIN,ZOLINZA,A2058,-23.2939979817,0
407,CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-2.4771009265,2
408,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-2.7797634582,4
409,CYCLOPHOSPHAMIDE,PD325901,A2058,-1.8430109412,1
410,DASATINIB,GELDANAMYCIN,A2058,-6.1123817221,9
411,DEXAMETHASONE,ABT-888,A2058,-14.702384611,2
412,DEXAMETHASONE,AZD1775,A2058,-6.0379847151,1
413,DEXAMETHASONE,BORTEZOMIB,A2058,-1.8765546423,9
414,DEXAMETHASONE,DASATINIB,A2058,-0.1787357598,1
415,DEXAMETHASONE,DINACICLIB,A2058,-11.4082575223,2
416,DEXAMETHASONE,ERLOTINIB,A2058,-18.8279417049,8
417,DEXAMETHASONE,GELDANAMYCIN,A2058,-0.4018303213,3
418,DEXAMETHASONE,L778123,A2058,-5.0183519054,7
419,DEXAMETHASONE,LAPATINIB,A2058,-16.237082531800002,7
420,DEXAMETHASONE,MK-2206,A2058,-0.5481215019,6
421,DEXAMETHASONE,MK-4827,A2058,-17.630914321600002,7
422,DEXAMETHASONE,MK-5108,A2058,-9.8334660478,9
423,DEXAMETHASONE,MK-8776,A2058,-6.365586469099999,4
424,DEXAMETHASONE,TEMOZOLOMIDE,A2058,-31.4551128567,6
425,DEXAMETHASONE,ZOLINZA,A2058,-12.4407141801,5
426,DOXORUBICIN,ABT-888,A2058,-7.8502589898,5
427,DOXORUBICIN,BORTEZOMIB,A2058,-6.7107859624,2
428,DOXORUBICIN,DINACICLIB,A2058,-3.0113840238,0
429,DOXORUBICIN,MK-4827,A2058,-12.5430883587,5
430,DOXORUBICIN,MK-5108,A2058,-6.2110304888,1
431,DOXORUBICIN,MK-8669,A2058,-10.4902325429,3
432,DOXORUBICIN,SORAFENIB,A2058,-4.8625902988,2
433,DOXORUBICIN,SUNITINIB,A2058,-3.1660455861,6
434,DOXORUBICIN,TEMOZOLOMIDE,A2058,-8.5362249426,6
435,ERLOTINIB,BORTEZOMIB,A2058,-1.0290095733,4
436,ERLOTINIB,OXALIPLATIN,A2058,-14.4481460473,7
437,ERLOTINIB,SORAFENIB,A2058,-1.6565454253,8
438,ETOPOSIDE,BORTEZOMIB,A2058,-6.6714341451,1
439,ETOPOSIDE,DINACICLIB,A2058,-6.5434303497,9
440,ETOPOSIDE,LAPATINIB,A2058,-0.8609223723,9
441,ETOPOSIDE,MK-4827,A2058,-1.3765989569,4
442,ETOPOSIDE,MK-5108,A2058,-0.7154277823999999,3
443,ETOPOSIDE,MK-8669,A2058,-4.1015614091,9
444,ETOPOSIDE,SORAFENIB,A2058,-12.1550362495,3
445,ETOPOSIDE,SUNITINIB,A2058,-6.9721696863,6
446,GEMCITABINE,ABT-888,A2058,-0.5367336044,5
447,GEMCITABINE,BORTEZOMIB,A2058,-3.1185354264,2
448,GEMCITABINE,DINACICLIB,A2058,-1.9476444593,0
449,GEMCITABINE,LAPATINIB,A2058,-0.1023817456,0
450,GEMCITABINE,MK-4827,A2058,-3.7686043288,7
451,GEMCITABINE,SORAFENIB,A2058,-15.0148790625,3
